0000229766-0001-4,FANTASTIC CAFE NO. 2,FANTASTIC CAFE (SAN PEDRO),1633 W 25TH STREET,SAN PEDRO,1633 25TH 90732-4301,,,,722110,Full-service restaurants,15,06/14/1985,,
0000951177-0001-2,TAMBIEN INC,MCDONALD'S #22570,4000 S FIGUEROA STREET,LOS ANGELES,4000 FIGUEROA 90037-2002,2202 S FIGUEROA STREET SUITE #4003,LOS ANGELES,90007-2049,722110,Full-service restaurants,9,02/24/1999,,"(34.0111, -118.2827)"
0002705606-0001-9,JUAN E MORADO SOTO,MI TIERRA KITCHEN,16702 S VERMONT AVENUE,GARDENA,16702 VERMONT 90247-5123,16201 S FIGUEROA STREET #243,GARDENA,90248-2688,722110,Full-service restaurants,15,10/03/2013,,"(33.8797, -118.2912)"
0002254699-0001-2,AGRA INDIAN KITCHEN INC,AGRA INDIAN KITCHEN,2553 LINCOLN BLVD,VENICE,2553 LINCOLN 90291-5042,,,,722110,Full-service restaurants,11,06/25/2007,,"(33.9912, -118.4484)"
0000657898-0001-9,PERSEPOLIS FAST FOOD INC,PERSEPOL'S PIZZA & SUBS,6900 RESEDA BLVD #G,RESEDA,6900 RESEDA 91335-4272,,,,722110,Full-service restaurants,3,03/01/2002,,"(34.1956, -118.536)"
0000974242-0001-1,JAXMALIN LLC,NORTH,137 N LARCHMONT BLVD ##217,LOS ANGELES,137 LARCHMONT 90004-3704,,,,722110,Full-service restaurants,4,07/01/1998,,
0002013175-0001-2,SOOK HEE YU,SONG SO SEAFOOD,377 N WESTERN AVENUE,LOS ANGELES,377 WESTERN 90004-2607,,,,722110,Full-service restaurants,4,12/29/2004,,
0002027558-0001-7,"H.S. CHEEMA, INC.",SUBWAY #26899,1000 E WASHINGTON BLVD UNIT #118,LOS ANGELES,1000 WASHINGTON 90021-3070,,,,722110,Full-service restaurants,9,03/15/2005,,
0002057880-0002-3,BLUE VELVET LLC,BLUE VELVET,750 GARLAND AVENUE,LOS ANGELES,750 GARLAND 90017-4412,1425 W 7TH STREET,LOS ANGELES,90017-2305,722110,Full-service restaurants,1,08/31/2005,,
0002086733-0001-4,LETICIA CONDE DE DAVILA,CONDE RESTAURANT,254   W FLORENCE AVENUE,LOS ANGELES,254 FLORENCE 90003-1872,,,,722110,Full-service restaurants,9,01/03/2006,,
0002750097-0001-2,"JUST DOWNSTAIRS 707, LLC.",JUST DOWNSTAIRS,707 WILSHIRE BLVD #150,LOS ANGELES,707 WILSHIRE 90017-3501,,,,722110,Full-service restaurants,14,04/01/2014,,
0000081992-0001-2,FRENCHY DELI LLC,FASION BISTRO,110 E 9TH STREET LOBBY #AL23,LOS ANGELES,110 9TH 90079-1208,,,,722110,Full-service restaurants,9,06/15/2003,,
